"","game_str","play_id","pos_throw","ball_in","ball_out","time_transfer"
"79","1900_09_TeamKK_TeamB",58,4,1860727,1862575,1848
"80","1900_09_TeamKK_TeamB",91,5,3299056,3299848,792
"81","1900_09_TeamKK_TeamB",155,6,5825102,5826191,1089
"82","1900_09_TeamKK_TeamB",160,4,5970522,5971776,1254
"83","1900_09_TeamKK_TeamB",170,4,6324832,6325558,726
"84","1900_09_TeamKK_TeamB",197,6,7497635,7498890,1255
"85","1900_09_TeamKK_TeamB",228,6,8950025,8951378,1353
"86","1900_09_TeamKK_TeamB",242,4,9509231,9510518,1287
"87","1901_01_TeamLG_TeamA3",21,6,681576,682726,1150
"88","1901_01_TeamLG_TeamA3",26,6,906226,907276,1050
"89","1901_01_TeamLG_TeamA3",28,4,957476,958176,700
"90","1901_01_TeamLG_TeamA3",43,6,1560925,1562175,1250
"91","1901_01_TeamLG_TeamA3",72,6,2383675,2385175,1500
"92","1901_01_TeamLG_TeamA3",103,5,3386574,3388174,1600
"93","1901_01_TeamLG_TeamA3",119,5,3833673,3834523,850
"94","1901_01_TeamLG_TeamA3",176,6,5883571,5884371,800
"95","1901_01_TeamLG_TeamA3",223,6,7346520,7347220,700
"96","1901_01_TeamLG_TeamA3",235,5,7810681,7811931,1250
"97","1901_01_TeamLG_TeamA3",241,4,7985631,7986731,1100
"98","1901_02_TeamLG_TeamA3",33,4,977111,978261,1150
"99","1901_02_TeamLG_TeamA3",69,4,2218260,2218860,600
"100","1901_02_TeamLG_TeamA3",125,5,5202695,5204295,1600
"101","1901_02_TeamLG_TeamA3",229,6,8863692,8864442,750
"102","1901_02_TeamLG_TeamA3",236,6,9198392,9199392,1000
"103","1901_02_TeamLG_TeamA3",296,6,11315440,11316490,1050
"104","1901_03_TeamLG_TeamA3",21,5,677679,678429,750
"105","1901_03_TeamLG_TeamA3",88,6,2933065,2934115,1050
"106","1901_03_TeamLG_TeamA3",90,5,2979015,2980665,1650
"107","1901_03_TeamLG_TeamA3",96,6,3105815,3107115,1300
"108","1901_03_TeamLG_TeamA3",122,5,4356064,4357414,1350
"109","1901_03_TeamLG_TeamA3",144,5,5092713,5094313,1600
"110","1901_03_TeamLG_TeamA3",147,4,5281163,5282613,1450
"111","1901_03_TeamLG_TeamA3",162,6,5697412,5698112,700
"112","1901_03_TeamLG_TeamA3",168,6,5963712,5964862,1150
"113","1901_03_TeamLG_TeamA3",171,4,6023562,6024412,850
"114","1901_03_TeamLG_TeamA3",176,5,6171812,6172912,1100
"115","1901_03_TeamLG_TeamA3",182,6,6523112,6524012,900
"116","1901_03_TeamLG_TeamA3",205,5,7680554,7682604,2050
"117","1901_03_TeamLG_TeamA3",235,5,8926703,8928603,1900
"118","1901_03_TeamLG_TeamA3",256,6,9749002,9749852,850
"119","1901_04_TeamLI_TeamA3",71,6,2188867,2189867,1000
"120","1901_04_TeamLI_TeamA3",91,6,2776616,2778066,1450
"121","1901_04_TeamLI_TeamA3",142,6,4485015,4485915,900
"122","1901_04_TeamLI_TeamA3",186,6,6053913,6054413,500
"123","1901_04_TeamLI_TeamA3",196,4,6458413,6459213,800
"124","1901_04_TeamLI_TeamA3",237,4,7896611,7898061,1450
"125","1901_04_TeamLI_TeamA3",248,4,8293711,8294561,850
"126","1901_04_TeamLI_TeamA3",259,4,8779760,8780710,950
"127","1901_04_TeamLI_TeamA3",295,4,10020759,10021509,750
"128","1901_05_TeamLI_TeamA3",119,5,4004852,4005702,850
"129","1901_05_TeamLI_TeamA3",162,5,5588000,5588750,750
"130","1901_05_TeamLI_TeamA3",243,4,8267448,8268048,600
"131","1901_05_TeamLI_TeamA3",247,4,8482447,8483647,1200
"132","1901_05_TeamLI_TeamA3",250,6,8561447,8562397,950
"133","1901_05_TeamLI_TeamA3",295,5,9942796,9943896,1100
"134","1901_05_TeamLI_TeamA3",299,4,10090146,10091546,1400
"135","1901_05_TeamLI_TeamA3",310,6,10536695,10537845,1150
"136","1901_05_TeamLI_TeamA3",334,6,11424395,11425595,1200
"137","1901_06_TeamLI_TeamA3",18,5,568684,570684,2000
"138","1901_06_TeamLI_TeamA3",30,4,1005583,1006583,1000
"139","1901_06_TeamLI_TeamA3",46,6,1448283,1448983,700
"140","1901_06_TeamLI_TeamA3",64,6,1972882,1973782,900
"141","1901_06_TeamLI_TeamA3",71,4,2252382,2252982,600
"142","1901_06_TeamLI_TeamA3",84,4,2720582,2721932,1350
"143","1901_06_TeamLI_TeamA3",87,6,2893281,2893781,500
"144","1901_06_TeamLI_TeamA3",131,5,4591180,4592980,1800
"145","1901_06_TeamLI_TeamA3",154,6,5392529,5393579,1050
"146","1901_06_TeamLI_TeamA3",161,6,5681779,5682729,950
"147","1901_06_TeamLI_TeamA3",196,5,7067027,7068627,1600
"148","1901_06_TeamLI_TeamA3",215,4,7730677,7731927,1250
"149","1901_06_TeamLI_TeamA3",216,4,7830777,7832027,1250
"150","1901_06_TeamLI_TeamA3",238,6,8745526,8747176,1650
"151","1901_07_TeamLK_TeamB",6,6,118254,119454,1200
"152","1901_07_TeamLK_TeamB",24,4,815953,817403,1450
"153","1901_07_TeamLK_TeamB",38,6,1207903,1209103,1200
"154","1901_07_TeamLK_TeamB",53,5,1678453,1679453,1000
"155","1901_07_TeamLK_TeamB",54,4,1717003,1717703,700
"156","1901_07_TeamLK_TeamB",66,5,2238852,2240402,1550
"157","1901_07_TeamLK_TeamB",125,5,4367450,4368200,750
"158","1901_07_TeamLK_TeamB",164,5,5984998,5985598,600
"159","1901_07_TeamLK_TeamB",182,5,6642798,6644498,1700
"160","1901_07_TeamLK_TeamB",194,6,7166647,7167597,950
"161","1901_07_TeamLK_TeamB",214,5,7876847,7877447,600
"162","1901_07_TeamLK_TeamB",230,5,8599646,8600846,1200
"163","1901_07_TeamLK_TeamB",249,4,9380895,9382095,1200
"164","1901_08_TeamLK_TeamB",40,4,1249292,1249842,550
"165","1901_08_TeamLK_TeamB",62,6,1878892,1880192,1300
"166","1901_08_TeamLK_TeamB",84,4,2802141,2802941,800
"167","1901_08_TeamLK_TeamB",111,6,3585090,3585790,700
"168","1901_08_TeamLK_TeamB",117,6,3867690,3869340,1650
"169","1901_08_TeamLK_TeamB",139,6,4690739,4691639,900
"170","1901_08_TeamLK_TeamB",143,4,4910039,4911439,1400
"171","1901_08_TeamLK_TeamB",158,6,5456438,5456888,450
"172","1901_08_TeamLK_TeamB",184,5,6573037,6574237,1200
"173","1901_08_TeamLK_TeamB",193,5,6959787,6960887,1100
"174","1901_08_TeamLK_TeamB",248,6,9217785,9219035,1250
"175","1901_09_TeamLK_TeamB",11,6,526232,527682,1450
"176","1901_09_TeamLK_TeamB",12,6,566032,567532,1500
"177","1901_09_TeamLK_TeamB",19,6,826082,827382,1300
"178","1901_09_TeamLK_TeamB",38,6,1316781,1317331,550
"179","1901_09_TeamLK_TeamB",42,6,1525481,1526181,700
"180","1901_09_TeamLK_TeamB",53,6,2161133,2162283,1150
"181","1901_09_TeamLK_TeamB",78,6,2875383,2876383,1000
"182","1901_09_TeamLK_TeamB",96,6,3685382,3686632,1250
"183","1901_09_TeamLK_TeamB",160,4,6061930,6062580,650
"184","1901_09_TeamLK_TeamB",193,4,7363928,7364628,700
"185","1901_09_TeamLK_TeamB",205,5,7775578,7777328,1750
"186","1901_09_TeamLK_TeamB",207,6,7825328,7826078,750
"187","1901_10_TeamLJ_TeamB",10,6,430716,431166,450
"188","1901_10_TeamLJ_TeamB",29,6,1094865,1095915,1050
"189","1901_10_TeamLJ_TeamB",37,4,1373565,1374465,900
"190","1901_10_TeamLJ_TeamB",84,4,3058214,3059464,1250
"191","1901_10_TeamLJ_TeamB",87,6,3256113,3257413,1300
"192","1901_10_TeamLJ_TeamB",93,6,3375313,3376263,950
"193","1901_10_TeamLJ_TeamB",132,4,5068512,5069362,850
"194","1901_10_TeamLJ_TeamB",176,6,7035710,7037410,1700
"195","1901_10_TeamLJ_TeamB",181,4,7367859,7368909,1050
"196","1901_10_TeamLJ_TeamB",185,4,7620709,7621459,750
"197","1901_10_TeamLJ_TeamB",192,6,7981809,7982359,550
"198","1901_10_TeamLJ_TeamB",197,6,8106809,8107909,1100
"199","1901_10_TeamLJ_TeamB",214,4,8957508,8958558,1050
"200","1901_10_TeamLJ_TeamB",216,4,9133658,9134608,950
"201","1901_10_TeamLJ_TeamB",249,4,10225957,10227207,1250
"202","1901_11_TeamLJ_TeamB",71,5,2313094,2314244,1150
"203","1901_11_TeamLJ_TeamB",146,6,5354141,5355141,1000
"204","1901_11_TeamLJ_TeamB",153,4,5722041,5723591,1550
"205","1901_11_TeamLJ_TeamB",154,6,5765841,5767341,1500
"206","1901_11_TeamLJ_TeamB",164,4,6225590,6226740,1150
"207","1901_11_TeamLJ_TeamB",189,5,7093689,7095339,1650
"208","1901_11_TeamLJ_TeamB",193,6,7243989,7245239,1250
"209","1901_11_TeamLJ_TeamB",204,5,7700489,7701639,1150
"210","1901_11_TeamLJ_TeamB",220,6,8475488,8476988,1500
"211","1901_11_TeamLJ_TeamB",250,5,9466987,9468487,1500
"212","1901_11_TeamLJ_TeamB",282,6,10821336,10822136,800
"213","1901_11_TeamLJ_TeamB",296,6,11421035,11422135,1100
"214","1901_12_TeamLJ_TeamB",58,5,2049345,2050595,1250
"215","1901_12_TeamLJ_TeamB",83,6,2773894,2774394,500
"216","1901_12_TeamLJ_TeamB",139,4,4809642,4810342,700
"217","1901_12_TeamLJ_TeamB",215,5,7403890,7404890,1000
"218","1901_12_TeamLJ_TeamB",252,5,8650489,8651739,1250
"219","1901_12_TeamLJ_TeamB",263,6,9125188,9125938,750
"220","1901_12_TeamLJ_TeamB",268,4,9244738,9245338,600
"221","1901_12_TeamLJ_TeamB",269,4,9284038,9284888,850
"222","1901_13_TeamLL_TeamB",5,4,112925,114125,1200
"223","1901_13_TeamLL_TeamB",69,5,2132924,2134574,1650
"224","1901_13_TeamLL_TeamB",132,6,4051772,4052472,700
"225","1901_13_TeamLL_TeamB",136,5,4243872,4245022,1150
"226","1901_13_TeamLL_TeamB",140,6,4339421,4340921,1500
"227","1901_13_TeamLL_TeamB",183,4,6135520,6136720,1200
"228","1901_13_TeamLL_TeamB",193,4,6479069,6479869,800
"229","1901_13_TeamLL_TeamB",195,5,6691319,6692019,700
"230","1901_13_TeamLL_TeamB",204,4,6901069,6902369,1300
"231","1901_13_TeamLL_TeamB",233,6,8047518,8048418,900
"232","1901_14_TeamLL_TeamB",22,4,794701,795401,700
"233","1901_14_TeamLL_TeamB",85,5,2949049,2949799,750
"234","1901_14_TeamLL_TeamB",105,4,3636048,3636698,650
"235","1901_14_TeamLL_TeamB",199,5,7341295,7342145,850
"236","1901_14_TeamLL_TeamB",254,5,9217843,9219393,1550
"237","1901_15_TeamLL_TeamB",2,4,16921,18271,1350
"238","1901_15_TeamLL_TeamB",14,6,323021,324121,1100
"239","1901_15_TeamLL_TeamB",38,4,1258570,1259920,1350
"240","1901_15_TeamLL_TeamB",91,4,3010569,3011469,900
"241","1901_15_TeamLL_TeamB",137,6,4671117,4672117,1000
"242","1901_15_TeamLL_TeamB",172,6,6024616,6025816,1200
"243","1901_15_TeamLL_TeamB",213,4,7764564,7765514,950
"244","1901_15_TeamLL_TeamB",223,5,8070864,8072414,1550
"245","1901_15_TeamLL_TeamB",232,6,8429613,8430263,650
"246","1901_15_TeamLL_TeamB",248,4,9205113,9206163,1050
"247","1901_16_TeamLH_TeamA3",117,4,4045923,4046723,800
"248","1901_16_TeamLH_TeamA3",118,6,4088673,4089323,650
"249","1901_16_TeamLH_TeamA3",211,5,7386520,7387970,1450
"250","1901_16_TeamLH_TeamA3",214,4,7454770,7456420,1650
"251","1901_17_TeamLH_TeamA3",12,5,323044,323844,800
"252","1901_17_TeamLH_TeamA3",50,4,1470339,1471339,1000
"253","1901_17_TeamLH_TeamA3",61,6,1830038,1831488,1450
"254","1901_17_TeamLH_TeamA3",112,6,3607337,3608137,800
"255","1901_17_TeamLH_TeamA3",140,6,4532386,4533236,850
"256","1901_17_TeamLH_TeamA3",163,4,5238785,5239885,1100
"257","1901_17_TeamLH_TeamA3",174,6,5661385,5661935,550
"258","1901_17_TeamLH_TeamA3",188,6,6442034,6442834,800
"259","1901_17_TeamLH_TeamA3",260,5,9061881,9063331,1450
"260","1901_17_TeamLH_TeamA3",283,6,9877381,9877981,600
"261","1901_17_TeamLH_TeamA3",330,4,11593379,11594279,900
"262","1901_17_TeamLH_TeamA3",340,4,12083178,12083978,800
"263","1901_18_TeamLH_TeamA3",30,6,1055752,1056552,800
"264","1901_18_TeamLH_TeamA3",32,5,1101602,1103102,1500
"265","1901_18_TeamLH_TeamA3",252,6,8602645,8603745,1100
"266","1901_18_TeamLH_TeamA3",255,4,8798695,8799845,1150
"267","1901_18_TeamLH_TeamA3",275,4,9568494,9569794,1300
"268","1902_01_TeamMG_TeamA3",15,4,351593,352243,650
"269","1902_01_TeamMG_TeamA3",64,6,1966443,1967493,1050
"270","1902_01_TeamMG_TeamA3",169,6,5282243,5283193,950
"271","1902_01_TeamMG_TeamA3",189,4,5973693,5974543,850
"272","1902_02_TeamMG_TeamA3",68,4,2183769,2184519,750
"273","1902_02_TeamMG_TeamA3",79,6,2565169,2566269,1100
"274","1902_02_TeamMG_TeamA3",161,6,5580619,5581519,900
"275","1902_02_TeamMG_TeamA3",185,4,6357469,6358919,1450
"276","1902_02_TeamMG_TeamA3",249,5,8588669,8590019,1350
"277","1902_02_TeamMG_TeamA3",296,4,10142219,10143119,900
"278","1902_02_TeamMG_TeamA3",302,4,10308919,10309519,600
"279","1902_02_TeamMG_TeamA3",337,5,11515119,11516519,1400
"280","1902_02_TeamMG_TeamA3",341,4,11640569,11642119,1550
"281","1902_02_TeamMG_TeamA3",354,4,12108669,12109419,750
"282","1902_02_TeamMG_TeamA3",356,4,12278719,12279569,850
"283","1902_02_TeamMG_TeamA3",358,5,12325369,12326819,1450
"284","1902_03_TeamMG_TeamA3",15,4,472346,473196,850
"285","1902_03_TeamMG_TeamA3",16,6,624946,625696,750
"286","1902_03_TeamMG_TeamA3",24,5,803246,803896,650
"287","1902_03_TeamMG_TeamA3",53,5,1787396,1788796,1400
"288","1902_03_TeamMG_TeamA3",99,5,3187846,3189146,1300
"289","1902_03_TeamMG_TeamA3",102,5,3266446,3268496,2050
"290","1902_03_TeamMG_TeamA3",106,6,3475846,3477246,1400
"291","1902_03_TeamMG_TeamA3",122,6,3956746,3957596,850
"292","1902_03_TeamMG_TeamA3",126,5,4139546,4141346,1800
"293","1902_03_TeamMG_TeamA3",137,4,4453346,4454496,1150
"294","1902_03_TeamMG_TeamA3",200,4,7143146,7143546,400
"295","1902_03_TeamMG_TeamA3",230,4,8069196,8070496,1300
"296","1902_03_TeamMG_TeamA3",321,4,11555296,11555796,500
"297","1902_04_TeamML_TeamB",15,4,396834,397634,800
"298","1902_04_TeamML_TeamB",39,4,975934,977334,1400
"299","1902_04_TeamML_TeamB",40,6,1116034,1116934,900
"300","1902_04_TeamML_TeamB",43,5,1175784,1176334,550
"301","1902_04_TeamML_TeamB",53,5,1443334,1445034,1700
"302","1902_04_TeamML_TeamB",93,5,2821484,2822834,1350
"303","1902_04_TeamML_TeamB",104,6,3273334,3275084,1750
"304","1902_04_TeamML_TeamB",109,6,3378234,3378884,650
"305","1902_04_TeamML_TeamB",110,5,3524684,3526134,1450
"306","1902_04_TeamML_TeamB",135,6,4329834,4331084,1250
"307","1902_04_TeamML_TeamB",140,6,4448084,4449184,1100
"308","1902_04_TeamML_TeamB",158,6,5183034,5183834,800
"309","1902_04_TeamML_TeamB",165,4,5316434,5317034,600
"310","1902_04_TeamML_TeamB",192,5,6102134,6102634,500
"311","1902_04_TeamML_TeamB",205,6,6774484,6775884,1400
"312","1902_05_TeamML_TeamB",143,6,12243279,12244629,1350
"313","1902_05_TeamML_TeamB",145,4,12449879,12451229,1350
"314","1902_05_TeamML_TeamB",206,6,14562629,14563779,1150
"315","1902_05_TeamML_TeamB",214,4,14788429,14789829,1400
"316","1902_05_TeamML_TeamB",220,5,15101229,15103029,1800
"317","1902_05_TeamML_TeamB",276,4,17236879,17237729,850
"318","1902_06_TeamML_TeamB",22,5,692253,693653,1400
"319","1902_06_TeamML_TeamB",32,6,987403,987953,550
"320","1902_06_TeamML_TeamB",45,4,1374703,1375403,700
"321","1902_06_TeamML_TeamB",118,4,4152374,4153024,650
"322","1902_06_TeamML_TeamB",125,4,4406774,4408974,2200
"323","1902_06_TeamML_TeamB",191,4,6540974,6541474,500
"324","1902_06_TeamML_TeamB",267,6,9493024,9493874,850
"325","1902_06_TeamML_TeamB",288,6,10217174,10217674,500
"326","1902_07_TeamMJ_TeamB",76,4,2599902,2601252,1350
"327","1902_07_TeamMJ_TeamB",85,4,3003102,3004802,1700
"328","1902_07_TeamMJ_TeamB",93,4,3298902,3300352,1450
"329","1902_07_TeamMJ_TeamB",129,6,4571452,4572052,600
"330","1902_07_TeamMJ_TeamB",136,4,4905402,4906102,700
"331","1902_07_TeamMJ_TeamB",166,4,5969452,5969802,350
"332","1902_07_TeamMJ_TeamB",176,4,6377002,6377552,550
"333","1902_07_TeamMJ_TeamB",180,4,6472752,6473802,1050
"334","1902_07_TeamMJ_TeamB",195,6,7055252,7057002,1750
"335","1902_07_TeamMJ_TeamB",232,4,8587152,8588502,1350
"336","1902_07_TeamMJ_TeamB",237,6,8731152,8732202,1050
"337","1902_07_TeamMJ_TeamB",252,6,9306502,9307202,700
"338","1902_07_TeamMJ_TeamB",281,4,10567952,10569302,1350
"339","1902_07_TeamMJ_TeamB",288,5,10851902,10852752,850
"340","1902_08_TeamMJ_TeamB",108,6,3960344,3961744,1400
"341","1902_08_TeamMJ_TeamB",123,5,4407944,4409494,1550
"342","1902_08_TeamMJ_TeamB",133,4,4873194,4873894,700
"343","1902_08_TeamMJ_TeamB",160,4,6309694,6311044,1350
"344","1902_08_TeamMJ_TeamB",164,5,6411944,6413694,1750
"345","1902_08_TeamMJ_TeamB",227,6,8699944,8700644,700
"346","1902_08_TeamMJ_TeamB",230,4,8776794,8777494,700
"347","1902_08_TeamMJ_TeamB",316,4,12221955,12222555,600
"348","1902_08_TeamMJ_TeamB",318,6,12280905,12282055,1150
"349","1902_08_TeamMJ_TeamB",321,6,12362405,12363005,600
"350","1902_08_TeamMJ_TeamB",357,6,13677505,13678455,950
"351","1902_09_TeamMJ_TeamB",1,5,17805,18405,600
"352","1902_09_TeamMJ_TeamB",10,4,355405,356305,900
"353","1902_09_TeamMJ_TeamB",23,4,794755,795255,500
"354","1902_09_TeamMJ_TeamB",36,6,1146455,1147555,1100
"355","1902_09_TeamMJ_TeamB",184,5,6884455,6885705,1250
"356","1902_09_TeamMJ_TeamB",282,4,10702155,10703055,900
"357","1902_09_TeamMJ_TeamB",304,4,11431905,11433255,1350
"358","1902_09_TeamMJ_TeamB",312,6,11664855,11665855,1000
"359","1902_10_TeamMI_TeamA3",114,6,3943031,3943731,700
"360","1902_10_TeamMI_TeamA3",176,5,6331281,6332881,1600
"361","1902_10_TeamMI_TeamA3",229,5,8380181,8382081,1900
"362","1902_10_TeamMI_TeamA3",258,6,9487531,9488281,750
"363","1902_10_TeamMI_TeamA3",268,6,9872681,9873681,1000
"364","1902_10_TeamMI_TeamA3",282,6,10360181,10361281,1100
"365","1902_11_TeamMI_TeamA3",11,4,218402,219402,1000
"366","1902_11_TeamMI_TeamA3",70,6,2444252,2445902,1650
"367","1902_11_TeamMI_TeamA3",73,4,2509002,2510252,1250
"368","1902_11_TeamMI_TeamA3",144,6,4743852,4744752,900
"369","1902_11_TeamMI_TeamA3",175,4,5786652,5787902,1250
"370","1902_11_TeamMI_TeamA3",187,6,6239852,6240752,900
"371","1902_11_TeamMI_TeamA3",212,4,7180702,7181452,750
"372","1902_11_TeamMI_TeamA3",267,6,9467702,9469002,1300
"373","1902_12_TeamMI_TeamA3",13,6,302654,303604,950
"374","1902_12_TeamMI_TeamA3",71,4,2386454,2387854,1400
"375","1902_12_TeamMI_TeamA3",138,6,4692704,4693304,600
"376","1902_12_TeamMI_TeamA3",174,5,6078454,6079654,1200
"377","1902_12_TeamMI_TeamA3",196,5,7125554,7126154,600
"378","1902_12_TeamMI_TeamA3",208,4,7442804,7444004,1200
"379","1902_12_TeamMI_TeamA3",225,6,7936554,7937854,1300
"380","1902_12_TeamMI_TeamA3",240,4,8744854,8745704,850
"381","1902_12_TeamMI_TeamA3",260,6,9358454,9359354,900
"382","1902_12_TeamMI_TeamA3",266,5,9669204,9670804,1600
"383","1902_13_TeamMD_TeamA2",17,4,614130,615280,1150
"384","1902_13_TeamMD_TeamA2",20,4,758330,759080,750
"385","1902_13_TeamMD_TeamA2",44,6,1677130,1678830,1700
"386","1902_13_TeamMD_TeamA2",58,4,2130430,2130930,500
"387","1902_13_TeamMD_TeamA2",88,5,3238830,3241080,2250
"388","1902_13_TeamMD_TeamA2",91,4,3322080,3323230,1150
"389","1902_13_TeamMD_TeamA2",108,5,3926230,3928030,1800
"390","1902_13_TeamMD_TeamA2",248,6,8690130,8691530,1400
"391","1902_13_TeamMD_TeamA2",264,6,9060530,9061880,1350
"392","1902_13_TeamMD_TeamA2",318,6,11166830,11168580,1750
"393","1902_13_TeamMK_TeamB",4,4,72260,73010,750
"394","1902_13_TeamMK_TeamB",92,6,3415210,3415760,550
"395","1902_13_TeamMK_TeamB",108,4,3890710,3892160,1450
"396","1902_13_TeamMK_TeamB",112,6,4010010,4011110,1100
"397","1902_13_TeamMK_TeamB",130,5,4617460,4619310,1850
"398","1902_13_TeamMK_TeamB",240,6,9036310,9037410,1100
"399","1902_13_TeamMK_TeamB",282,4,10493310,10494210,900
"400","1902_13_TeamMK_TeamB",288,6,10669060,10669910,850
"401","1902_14_TeamMD_TeamA2",2,4,40897,42497,1600
"402","1902_14_TeamMD_TeamA2",27,4,847247,848147,900
"403","1902_14_TeamMD_TeamA2",66,6,2198326,2199776,1450
"404","1902_14_TeamMD_TeamA2",110,4,3515576,3516676,1100
"405","1902_14_TeamMD_TeamA2",121,5,3948376,3950376,2000
"406","1902_14_TeamMD_TeamA2",173,4,5601776,5602926,1150
"407","1902_14_TeamMD_TeamA2",192,4,6376428,6377678,1250
"408","1902_14_TeamMD_TeamA2",199,4,6688028,6689328,1300
"409","1902_14_TeamMD_TeamA2",245,6,8471915,8473465,1550
"410","1902_14_TeamMD_TeamA2",247,5,8529065,8531265,2200
