"","player_position","depth","field_x","field_y","ev","babip"
"56",9,276.295046031789,101.421194023556,257.007186406421,89,0.30787498294693
"57",3,114.357456880445,55,100.262794416288,91,0.322238006387684
"58",4,166.882885653914,17.3646866279702,165.977001968615,91,0.322238006387684
"59",5,146.213657500882,-70.9847626095481,127.826433561495,91,0.322238006387684
"60",6,160.785773499262,-42.5287615398655,155.059244811915,91,0.322238006387684
"61",7,335.184778452582,-116.437876289804,314.310446328827,91,0.322238006387684
"62",8,341.44310401066,12.4615845456083,341.215624183663,91,0.322238006387684
"63",9,287.434006565112,106.421194023556,267.007186406421,91,0.322238006387684
"64",3,112.038510986905,50,100.262794416288,93,0.335843348592865
"65",4,150.99551935829,2.36468662797019,150.977001968615,93,0.335843348592865
"66",5,148.705350495134,-75.9847626095481,127.826433561495,93,0.335843348592865
"67",6,154.277202769285,-52.5287615398655,145.059244811915,93,0.335843348592865
"68",7,346.30105890075,-121.437876289804,324.310446328827,93,0.335843348592865
"69",8,351.294876015366,7.46158454560835,351.215624183663,93,0.335843348592865
"70",9,296.746443716182,106.421194023556,277.007186406421,93,0.335843348592865
"71",3,114.357456880445,55,100.262794416288,95,0.343930469154003
"72",4,166.140313565425,7.36468662797019,165.977001968615,95,0.343930469154003
"73",5,146.213657500882,-70.9847626095481,127.826433561495,95,0.343930469154003
"74",6,155.969460188964,-42.5287615398655,150.059244811915,95,0.343930469154003
"75",7,357.421335520497,-126.437876289804,334.310446328827,95,0.343930469154003
"76",8,361.292682458869,7.46158454560835,361.215624183663,95,0.343930469154003
"77",9,307.876286073749,111.421194023556,287.007186406421,95,0.343930469154003
