"","game_str","play_id","Batter_Time_HF","throw_time"
"228","1901_04_TeamLI_TeamA3",71,4600,4100
"229","1901_04_TeamLI_TeamA3",91,NA,4300
"230","1901_04_TeamLI_TeamA3",95,NA,1600
"231","1901_04_TeamLI_TeamA3",102,5100,4500
"232","1901_04_TeamLI_TeamA3",111,NA,3950
"233","1901_04_TeamLI_TeamA3",121,NA,3850
"234","1901_04_TeamLI_TeamA3",142,4200,4250
"235","1901_04_TeamLI_TeamA3",148,4350,4150
"236","1901_04_TeamLI_TeamA3",158,NA,6100
"237","1901_04_TeamLI_TeamA3",167,NA,5400
"238","1901_04_TeamLI_TeamA3",171,NA,2600
"239","1901_04_TeamLI_TeamA3",180,NA,5500
"240","1901_04_TeamLI_TeamA3",186,4450,4200
"241","1901_04_TeamLI_TeamA3",196,NA,3750
"242","1901_04_TeamLI_TeamA3",237,NA,4000
"243","1901_04_TeamLI_TeamA3",248,4600,4300
"244","1901_04_TeamLI_TeamA3",259,NA,4150
"245","1901_04_TeamLI_TeamA3",295,NA,4100
"246","1901_04_TeamLI_TeamA3",298,NA,4000
"247","1901_04_TeamLI_TeamA3",309,NA,4150
"248","1901_04_TeamLI_TeamA3",313,NA,1400
"249","1901_05_TeamLI_TeamA3",6,NA,NA
"250","1901_05_TeamLI_TeamA3",8,NA,NA
"251","1901_05_TeamLI_TeamA3",30,NA,NA
"252","1901_05_TeamLI_TeamA3",32,NA,NA
"253","1901_05_TeamLI_TeamA3",33,NA,NA
"254","1901_05_TeamLI_TeamA3",119,NA,4050
"255","1901_05_TeamLI_TeamA3",150,NA,2600
"256","1901_05_TeamLI_TeamA3",153,NA,3850
"257","1901_05_TeamLI_TeamA3",162,NA,4150
"258","1901_05_TeamLI_TeamA3",243,NA,3800
"259","1901_05_TeamLI_TeamA3",247,NA,4200
"260","1901_05_TeamLI_TeamA3",250,NA,4000
"261","1901_05_TeamLI_TeamA3",295,4700,4300
"262","1901_05_TeamLI_TeamA3",299,NA,4100
"263","1901_05_TeamLI_TeamA3",310,NA,4050
"264","1901_05_TeamLI_TeamA3",334,5050,4200
"265","1901_06_TeamLI_TeamA3",14,NA,4500
"266","1901_06_TeamLI_TeamA3",18,NA,4100
"267","1901_06_TeamLI_TeamA3",24,NA,3500
"268","1901_06_TeamLI_TeamA3",30,NA,3900
"269","1901_06_TeamLI_TeamA3",32,NA,1100
"270","1901_06_TeamLI_TeamA3",46,NA,4000
"271","1901_06_TeamLI_TeamA3",59,NA,950
"272","1901_06_TeamLI_TeamA3",64,NA,3850
"273","1901_06_TeamLI_TeamA3",71,NA,4050
"274","1901_06_TeamLI_TeamA3",79,NA,4250
"275","1901_06_TeamLI_TeamA3",84,NA,4000
"276","1901_06_TeamLI_TeamA3",87,NA,4000
"277","1901_06_TeamLI_TeamA3",101,5950,6550
"278","1901_06_TeamLI_TeamA3",122,NA,1550
"279","1901_06_TeamLI_TeamA3",131,4650,4000
"280","1901_06_TeamLI_TeamA3",154,NA,4000
"281","1901_06_TeamLI_TeamA3",161,NA,4350
"282","1901_06_TeamLI_TeamA3",196,NA,4100
"283","1901_06_TeamLI_TeamA3",205,NA,NA
"284","1901_06_TeamLI_TeamA3",215,NA,3650
"285","1901_06_TeamLI_TeamA3",216,4850,3950
"286","1901_06_TeamLI_TeamA3",226,4450,3900
"287","1901_06_TeamLI_TeamA3",238,5400,5050
"288","1901_07_TeamLK_TeamB",6,5100,4250
"289","1901_07_TeamLK_TeamB",24,NA,4200
"290","1901_07_TeamLK_TeamB",38,NA,4000
"291","1901_07_TeamLK_TeamB",51,NA,3650
"292","1901_07_TeamLK_TeamB",53,4400,4050
"293","1901_07_TeamLK_TeamB",54,NA,3700
"294","1901_07_TeamLK_TeamB",61,NA,6250
"295","1901_07_TeamLK_TeamB",66,NA,3950
"296","1901_07_TeamLK_TeamB",91,NA,4300
"297","1901_07_TeamLK_TeamB",125,NA,3950
"298","1901_07_TeamLK_TeamB",131,NA,4400
"299","1901_07_TeamLK_TeamB",150,NA,NA
"300","1901_07_TeamLK_TeamB",154,NA,4300
"301","1901_07_TeamLK_TeamB",164,4300,4050
"302","1901_07_TeamLK_TeamB",170,NA,NA
"303","1901_07_TeamLK_TeamB",174,NA,NA
"304","1901_07_TeamLK_TeamB",177,NA,NA
"305","1901_07_TeamLK_TeamB",182,NA,3900
"306","1901_07_TeamLK_TeamB",188,NA,NA
"307","1901_07_TeamLK_TeamB",191,NA,NA
"308","1901_07_TeamLK_TeamB",192,4450,4150
"309","1901_07_TeamLK_TeamB",194,4450,4150
"310","1901_07_TeamLK_TeamB",205,NA,4100
"311","1901_07_TeamLK_TeamB",214,NA,4100
"312","1901_07_TeamLK_TeamB",230,NA,3650
"313","1901_07_TeamLK_TeamB",249,NA,4200
"314","1901_08_TeamLK_TeamB",12,NA,NA
"315","1901_08_TeamLK_TeamB",22,NA,NA
"316","1901_08_TeamLK_TeamB",36,NA,3900
"317","1901_08_TeamLK_TeamB",40,NA,2500
"318","1901_08_TeamLK_TeamB",62,NA,3950
"319","1901_08_TeamLK_TeamB",69,4500,4250
"320","1901_08_TeamLK_TeamB",76,NA,NA
"321","1901_08_TeamLK_TeamB",77,NA,NA
"322","1901_08_TeamLK_TeamB",81,NA,4100
"323","1901_08_TeamLK_TeamB",84,NA,3650
"324","1901_08_TeamLK_TeamB",111,4050,3950
"325","1901_08_TeamLK_TeamB",117,NA,4150
"326","1901_08_TeamLK_TeamB",120,NA,3550
"327","1901_08_TeamLK_TeamB",123,NA,900
"328","1901_08_TeamLK_TeamB",129,NA,NA
"329","1901_08_TeamLK_TeamB",139,NA,3850
"330","1901_08_TeamLK_TeamB",143,NA,4150
"331","1901_08_TeamLK_TeamB",146,NA,3650
"332","1901_08_TeamLK_TeamB",150,NA,1250
"333","1901_08_TeamLK_TeamB",158,4600,4450
"334","1901_08_TeamLK_TeamB",184,4550,4050
"335","1901_08_TeamLK_TeamB",193,NA,4150
"336","1901_08_TeamLK_TeamB",200,5150,1350
"337","1901_08_TeamLK_TeamB",231,NA,3450
"338","1901_08_TeamLK_TeamB",248,NA,4450
"339","1901_09_TeamLK_TeamB",11,NA,4150
"340","1901_09_TeamLK_TeamB",12,4550,4100
"341","1901_09_TeamLK_TeamB",19,4350,4350
"342","1901_09_TeamLK_TeamB",38,4300,4050
"343","1901_09_TeamLK_TeamB",42,4750,4550
"344","1901_09_TeamLK_TeamB",45,5550,5650
"345","1901_09_TeamLK_TeamB",49,NA,NA
"346","1901_09_TeamLK_TeamB",50,NA,4150
"347","1901_09_TeamLK_TeamB",53,4250,3950
"348","1901_09_TeamLK_TeamB",61,NA,NA
"349","1901_09_TeamLK_TeamB",62,NA,NA
"350","1901_09_TeamLK_TeamB",78,NA,4100
"351","1901_09_TeamLK_TeamB",85,NA,NA
"352","1901_09_TeamLK_TeamB",86,NA,3850
"353","1901_09_TeamLK_TeamB",91,NA,1200
"354","1901_09_TeamLK_TeamB",96,NA,3800
"355","1901_09_TeamLK_TeamB",116,NA,3850
"356","1901_09_TeamLK_TeamB",136,NA,5700
"357","1901_09_TeamLK_TeamB",143,3900,1450
"358","1901_09_TeamLK_TeamB",160,4550,4800
"359","1901_09_TeamLK_TeamB",161,NA,NA
"360","1901_09_TeamLK_TeamB",176,4500,1500
"361","1901_09_TeamLK_TeamB",189,NA,4700
"362","1901_09_TeamLK_TeamB",193,NA,3800
"363","1901_09_TeamLK_TeamB",205,NA,4200
"364","1901_09_TeamLK_TeamB",207,4000,3550
"365","1901_09_TeamLK_TeamB",241,NA,3950
"366","1901_09_TeamLK_TeamB",254,NA,NA
"367","1901_10_TeamLJ_TeamB",6,5850,5800
"368","1901_10_TeamLJ_TeamB",10,4150,4000
"369","1901_10_TeamLJ_TeamB",17,NA,4100
"370","1901_10_TeamLJ_TeamB",29,4300,4050
"371","1901_10_TeamLJ_TeamB",37,NA,4100
"372","1901_10_TeamLJ_TeamB",50,NA,NA
"373","1901_10_TeamLJ_TeamB",53,NA,4050
"374","1901_10_TeamLJ_TeamB",84,NA,3600
"375","1901_10_TeamLJ_TeamB",87,NA,4000
"376","1901_10_TeamLJ_TeamB",93,4000,3750
"377","1901_10_TeamLJ_TeamB",122,4750,4750
"378","1901_10_TeamLJ_TeamB",132,4650,4400
"379","1901_10_TeamLJ_TeamB",148,NA,NA
"380","1901_10_TeamLJ_TeamB",165,NA,2450
"381","1901_10_TeamLJ_TeamB",176,5100,4650
"382","1901_10_TeamLJ_TeamB",181,NA,3750
"383","1901_10_TeamLJ_TeamB",185,4100,3850
"384","1901_10_TeamLJ_TeamB",192,NA,3750
"385","1901_10_TeamLJ_TeamB",197,NA,4000
"386","1901_10_TeamLJ_TeamB",210,NA,4100
"387","1901_10_TeamLJ_TeamB",214,NA,4050
"388","1901_10_TeamLJ_TeamB",216,NA,4450
"389","1901_10_TeamLJ_TeamB",244,8500,8700
"390","1901_10_TeamLJ_TeamB",249,NA,3950
"391","1901_10_TeamLJ_TeamB",251,NA,2300
"392","1901_10_TeamLJ_TeamB",256,NA,3900
"393","1901_11_TeamLJ_TeamB",39,NA,NA
"394","1901_11_TeamLJ_TeamB",55,4250,4050
"395","1901_11_TeamLJ_TeamB",71,NA,4150
"396","1901_11_TeamLJ_TeamB",101,4450,11500
"397","1901_11_TeamLJ_TeamB",107,NA,1000
"398","1901_11_TeamLJ_TeamB",113,NA,NA
"399","1901_11_TeamLJ_TeamB",139,4400,4300
"400","1901_11_TeamLJ_TeamB",146,4250,4100
"401","1901_11_TeamLJ_TeamB",153,4600,4350
"402","1901_11_TeamLJ_TeamB",154,NA,3350
"403","1901_11_TeamLJ_TeamB",164,NA,3850
"404","1901_11_TeamLJ_TeamB",189,NA,3800
"405","1901_11_TeamLJ_TeamB",193,NA,3700
"406","1901_11_TeamLJ_TeamB",204,NA,3750
"407","1901_11_TeamLJ_TeamB",208,NA,NA
"408","1901_11_TeamLJ_TeamB",220,NA,4000
"409","1901_11_TeamLJ_TeamB",250,NA,3850
"410","1901_11_TeamLJ_TeamB",282,NA,3700
"411","1901_11_TeamLJ_TeamB",296,NA,4050
"412","1901_12_TeamLJ_TeamB",13,NA,NA
"413","1901_12_TeamLJ_TeamB",23,3900,1200
"414","1901_12_TeamLJ_TeamB",54,NA,3400
"415","1901_12_TeamLJ_TeamB",58,NA,3900
"416","1901_12_TeamLJ_TeamB",76,NA,NA
"417","1901_12_TeamLJ_TeamB",83,NA,4100
"418","1901_12_TeamLJ_TeamB",94,NA,3850
"419","1901_12_TeamLJ_TeamB",110,4150,1600
"420","1901_12_TeamLJ_TeamB",139,NA,4150
"421","1901_12_TeamLJ_TeamB",166,NA,NA
"422","1901_12_TeamLJ_TeamB",174,NA,4550
"423","1901_12_TeamLJ_TeamB",186,NA,NA
"424","1901_12_TeamLJ_TeamB",210,NA,4050
"425","1901_12_TeamLJ_TeamB",215,NA,4000
"426","1901_12_TeamLJ_TeamB",252,NA,4000
"427","1901_12_TeamLJ_TeamB",263,NA,3850
"428","1901_12_TeamLJ_TeamB",268,NA,4350
"429","1901_12_TeamLJ_TeamB",269,NA,3900
"430","1901_13_TeamLL_TeamB",5,NA,4000
"431","1901_13_TeamLL_TeamB",13,NA,4250
"432","1901_13_TeamLL_TeamB",69,NA,3850
"433","1901_13_TeamLL_TeamB",132,4450,3700
"434","1901_13_TeamLL_TeamB",136,NA,4300
"435","1901_13_TeamLL_TeamB",138,NA,1950
"436","1901_13_TeamLL_TeamB",140,NA,3850
"437","1901_13_TeamLL_TeamB",148,5150,6250
"438","1901_13_TeamLL_TeamB",164,NA,1350
"439","1901_13_TeamLL_TeamB",166,5250,11750
"440","1901_13_TeamLL_TeamB",180,NA,1100
"441","1901_13_TeamLL_TeamB",183,NA,4000
"442","1901_13_TeamLL_TeamB",193,NA,4250
"443","1901_13_TeamLL_TeamB",195,NA,3950
"444","1901_13_TeamLL_TeamB",199,NA,3700
"445","1901_13_TeamLL_TeamB",204,NA,3800
"446","1901_13_TeamLL_TeamB",221,NA,4050
"447","1901_13_TeamLL_TeamB",233,NA,3900
"448","1901_14_TeamLL_TeamB",6,NA,NA
"449","1901_14_TeamLL_TeamB",7,NA,3850
"450","1901_14_TeamLL_TeamB",22,NA,3600
"451","1901_14_TeamLL_TeamB",27,NA,NA
"452","1901_14_TeamLL_TeamB",32,NA,NA
"453","1901_14_TeamLL_TeamB",47,5850,6200
"454","1901_14_TeamLL_TeamB",52,NA,NA
"455","1901_14_TeamLL_TeamB",79,NA,4150
"456","1901_14_TeamLL_TeamB",85,NA,3350
"457","1901_14_TeamLL_TeamB",98,5850,8650
"458","1901_14_TeamLL_TeamB",105,NA,3950
"459","1901_14_TeamLL_TeamB",130,NA,NA
"460","1901_14_TeamLL_TeamB",139,NA,3750
"461","1901_14_TeamLL_TeamB",145,NA,1700
"462","1901_14_TeamLL_TeamB",164,NA,4200
"463","1901_14_TeamLL_TeamB",175,NA,NA
"464","1901_14_TeamLL_TeamB",199,NA,4000
"465","1901_14_TeamLL_TeamB",214,NA,NA
"466","1901_14_TeamLL_TeamB",219,NA,2350
"467","1901_14_TeamLL_TeamB",254,NA,4250
"468","1901_15_TeamLL_TeamB",2,NA,4049
"469","1901_15_TeamLL_TeamB",14,NA,4250
"470","1901_15_TeamLL_TeamB",24,NA,NA
"471","1901_15_TeamLL_TeamB",38,NA,4150
"472","1901_15_TeamLL_TeamB",78,NA,1000
"473","1901_15_TeamLL_TeamB",91,NA,4000
"474","1901_15_TeamLL_TeamB",98,NA,4150
"475","1901_15_TeamLL_TeamB",113,NA,NA
"476","1901_15_TeamLL_TeamB",121,NA,NA
"477","1901_15_TeamLL_TeamB",137,NA,4450
"478","1901_15_TeamLL_TeamB",146,NA,NA
"479","1901_15_TeamLL_TeamB",150,NA,NA
"480","1901_15_TeamLL_TeamB",156,4600,1850
"481","1901_15_TeamLL_TeamB",172,NA,4200
"482","1901_15_TeamLL_TeamB",187,4800,3950
"483","1901_15_TeamLL_TeamB",213,NA,4650
"484","1901_15_TeamLL_TeamB",223,NA,4450
"485","1901_15_TeamLL_TeamB",230,NA,5850
"486","1901_15_TeamLL_TeamB",232,NA,3850
"487","1901_15_TeamLL_TeamB",237,NA,3500
"488","1901_15_TeamLL_TeamB",248,NA,3950
"489","1901_16_TeamLH_TeamA3",9,NA,1350
"490","1901_16_TeamLH_TeamA3",13,5550,10600
"491","1901_16_TeamLH_TeamA3",22,4800,1850
"492","1901_16_TeamLH_TeamA3",53,4900,2750
"493","1901_16_TeamLH_TeamA3",73,NA,1050
"494","1901_16_TeamLH_TeamA3",85,NA,NA
"495","1901_16_TeamLH_TeamA3",86,NA,NA
"496","1901_16_TeamLH_TeamA3",103,NA,NA
"497","1901_16_TeamLH_TeamA3",117,NA,3800
"498","1901_16_TeamLH_TeamA3",118,NA,4200
"499","1901_16_TeamLH_TeamA3",132,NA,NA
"500","1901_16_TeamLH_TeamA3",137,NA,NA
"501","1901_16_TeamLH_TeamA3",144,4300,4300
"502","1901_16_TeamLH_TeamA3",178,NA,NA
"503","1901_16_TeamLH_TeamA3",182,NA,NA
"504","1901_16_TeamLH_TeamA3",188,NA,4000
"505","1901_16_TeamLH_TeamA3",211,NA,4050
"506","1901_16_TeamLH_TeamA3",214,4650,4150
